Name,Price,Metro,Likes,Orders,Sale
"Фотосессия с лошадью, конная прогулка на выбор в клубе «Усадьба Марфино»",525 руб.,,60,7,-65%
60 минут игры в шлеме HTC Vive в клубе виртуальной реальности VR4Fun,300 руб.,Таганская (кольцевая),107,63,-50%
До 2 часов свободных прыжков в батутном центре «The Батут»,253 руб.,Авиамоторная,255,341,-61%
Прогулка по Москве-реке с обедом или ужином от компании «Мосфлот»,264 руб.,Выставочная,132,53,-56%
Полет на самолете или автожире от авиацентра «Воскресенск»,3 330 руб.,,245,78,-63%
Участие в перформанс-квесте с актерами «Синистер» от студии Top Quest,878 руб.,Волгоградский проспект,74,21,-89%
"2, 4 или 6 часов посещения сауны с парной, SPA-ванной в отеле Silky Way",1 200 руб.,,53,10,-50%
Комплекс развлечений для одного либо двоих в центре «Ролл Холл»,989 руб.,Тульская,61,45,-55%
Полет на самолете для одного или двоих в аэроклубе Fly-zone,2 970 руб.,,119,39,-67%
Участие в перформанс-квесте «Cущность» от компании DreadRoom,1 957 руб.,Пражская,18,7,-72%
Однодневное путешествие с посещением Сьяновских пещер от клуба «Феникс»,1 470 руб.,,18,2,-51%
"Стрельба из лука, арбалета и пневматического оружия в СК Sniper Gun",384 руб.,Савёловская,44,21,-52%
Участие в экшн-квесте «От заката до рассвета» от компании Rabbit Hole,950 руб.,Курская,56,57,-62%
3 часа игры в боулинг с угощением в центре семейного отдыха «Карибия»,891 руб.,Перово,191,278,-67%
Участие в перформанс-квесте «Поворот не туда» от компании [E]Quest,1 085 руб.,Волгоградский проспект,13,3,-69%
Посещение арт-вечеринки для одного или двоих от проекта ArtistNight,1 250 руб.,,49,25,-50%
Посещение в будний или выходной день игрового клуба Dino Play,400 руб.,Лубянка,212,408,-50%
Конная прогулка в лесу или в поле для взрослых или детей от клуба «Авиньон»,1 200 руб.,,55,27,-50%
"Посещение сауны, восточного хаммама и кедровой бочки в сауне «Зеленый рай»",882 руб.,,39,6,-51%
Участие в квесте «Алиса» для команды до 4 человек от компании «Исключение»,1 500 руб.,Дмитровская,47,29,-50%
Участие в квесте «Неисправный телепорт» от компании Real-Quest,1 500 руб.,Шаболовская,52,46,-50%
Участие в квесте на выбор от компании «Квест Клуб»,2 000 руб.,,53,41,-50%
Караоке-вечеринка по пакету «Лайт» или «Люкс» в караоке-клубе «Маска»,200 руб.,Китай-город,151,129,-50%
Участие в перформанс-квесте «Кукловод» от студии «Фактор страха»,1 198 руб.,Алексеевская,41,9,-85%
Посещение «Планеты енотов» от контактного зоопарка «Зооферма»,196 руб.,,346,94,-51%
Билет на посещение музея для ребенка или взрослого от музея Lego Megabricks,200 руб.,Дубровка,51,78,-50%
Участие в квесте «Стальной разум» от компании «Игра разума»,1 500 руб.,Автозаводская,28,19,-50%
Участие в квесте «Библиотека старого масона» от компании «Игра разума»,1 500 руб.,Павелецкая,54,42,-50%
Участие в квест-игре на выбор от компании «Проект Нейрон»,980 руб.,Менделеевская,38,44,-51%
Участие в квесте «Идеальное ограбление» от компании ZoNa,1 500 руб.,Чертановская,116,73,-50%
Участие в квесте-бродилке на выбор от компании «Ходилки Бродилки»,297 руб.,,26,54,-70%
Отдых в русско-финской сауне для компании в центре «Сауна Лагуна»,1 470 руб.,Авиамоторная,126,8,-51%
Участие в экшен-квесте «Команд страйк» от компании «Квеструм.рф»,1 880 руб.,Марьина Роща,12,14,-53%
Участие в квесте «Зеленая миля» от компании «В подвале»,980 руб.,Речной вокзал,16,10,-72%
Посещение арт-вечера для одного или двоих от проекта Justi Art,1 125 руб.,,70,30,-55%
Участие в квесте «Бункер Сталина» от компании Quest Hunter,980 руб.,Электрозаводская,80,43,-72%
Участие в квест-игре «Тюрьма» от компании «В подвале»,980 руб.,Речной вокзал,72,42,-72%
Билет на экскурсию по киностудии «Мосфильм» от компании «Мос-Тур»,650 руб.,Ломоносовский проспект,411,133,-50%
Целый день развлечений для 1 или 2 детей в сети центров «БибиLand»,400 руб.,,13,12,-50%
"Участие в квесте «Карты, деньги, два ствола» в кафе «В окошках»",1 600 руб.,Первомайская,5,1,-60%
Участие в вечеринке экспресс-знакомств от компании Speed Dating,352 руб.,,19,27,-78%
Конная прогулка для одного или двоих в конно-спортивном клубе «Тандем»,800 руб.,,188,62,-50%
Пеший квест на выбор от компании «Квест-город»,324 руб.,,17,20,-64%
Участие в перформанс-квесте «Приют» от компании «Фактор страха»,1 198 руб.,Алексеевская,19,2,-85%
Участие в квест-игре на выбор от компании «Проект Нейрон»,1 540 руб.,Менделеевская,22,21,-56%
2 или 3 часа игры в боулинг в развлекательном комплексе «Наманган»,288 руб.,Люблино,418,828,-76%
Билет на посещение культурно-развлекательного центра «Аквалюзион»,100 руб.,Планерная,207,338,-50%
Катание на кроссовом мотоцикле или питбайке от клуба Kvadro-Extrim,700 руб.,,74,35,-72%
Игра в русский бильярд или американский пул от бильярдного клуба «Лига»,250 руб.,Борисово,56,127,-50%
«Курс молодого бойца» с выдачей сертификата в клубе «Феникс»,1 290 руб.,Октябрьская,18,1,-57%
Участие в квесте Mind Horror или «Интерстеллар» от компании «Ловушка»,1 250 руб.,Сокольники,36,32,-50%
Посещение контактного зоопарка «Наша ферма»,150 руб.,Братиславская,282,552,-50%
Участие в перформанс-квесте «Отель 24» т компании [E]Quest,1 085 руб.,Волгоградский проспект,36,25,-69%
"1, 2 или 3 билета в музей и на производство гжели от объединения «Гжель»",200 руб.,,76,71,-50%
Посещение cкалодрома в парке активного отдыха «Веселые джунгли»,300 руб.,,12,5,-50%
"Стрельба из лука, арбалета, пневматического оружия в клубе Shooter",988 руб.,,49,12,-62%
День игры в пейнтбол для одного человека в клубе «Ангар 28»,980 руб.,Андроновка,18,33,-51%
Полет с инструктажем и арендой экипировки в закрытой аэротрубе «Летариум»,975 руб.,Крылатское,103,269,-50%
Посещение площадки свободного конструирования «LEGO Education Зеленоград»,175 руб.,,18,27,-50%
Пешеходная экскурсия по ММДЦ «Москва-Сити» от агентства MC`ex,99 руб.,Деловой центр,155,75,-67%
Посещение детского игрового центра конструирования Legogo,150 руб.,,53,103,-50%
Участие в перформанс-квесте «Шрек 2» от студии Disney Quest,800 руб.,Деловой центр,54,11,-84%
2 или 3 часа игры в боулинг для компании до 6 человек в клубе «Москва»,308 руб.,,65,160,-86%
Пакет развлечений на выбор в детском развлекательном парке Funky World,690 руб.,Войковская,66,78,-50%
Пакет развлечений в детском развлекательном клубе «Игрушки»,250 руб.,Бульвар Дмитрия Донского,133,170,-50%
Отдых для детей или взрослых в аквапарке «Аква-Юна» за полцены,80 руб.,,12,9,-50%
"Заезд на гироскутере, мини-сигвее, моноколесе или гирокарте от Charged",200 руб.,Юго-Западная,15,51,-50%
Экскурсия в зоостудию животных-актеров «Ковчег»,400 руб.,,177,219,-50%
Свободные прыжки на батутной арене для одного в центре «Выше крыши»,300 руб.,,175,555,-50%
До 500 выстрелов из пневматического оружия для в тире I Love Gun,250 руб.,Авиамоторная,178,79,-50%
Экскурсия в океанариум «Морской аквариум на Чистых прудах»,50 руб.,Чистые пруды,357,650,-64%
Посещение зоопарка «Зверюшки — не игрушки!» в ТРЦ «Азовский»,150 руб.,Севастопольская,30,57,-50%
Посещение контактного зоопарка «Зверолэнд»,150 руб.,Планерная,40,59,-50%
Обзорная экскурсия или экскурсия-квест от фермы «Русский страус»,100 руб.,,45,31,-50%
Посещение игровых и развлекательных зон в детском центре «Зазеркалье»,150 руб.,,49,24,-50%
Пешеходные квесты на выбор от компании IQuest.su,250 руб.,,41,44,-50%
Билет на посещение зеркального лабиринта и тира от компании Sky Production,249 руб.,Тульская,165,59,-50%
Посещение для одного ребенка детского клуба «СамиМамы»,100 руб.,,5,11,-50%
Участие в квесте с актерами «Судная ночь» от студии «Запретная зона»,1 198 руб.,Варшавская,36,13,-85%
Катание на квадроцикле по маршруту на выбор от компании «ЕКХ»,490 руб.,,29,2,-86%
Безлимитное посещение игрового пространства в игровом центре «Непоседа»,196 руб.,,3,1,-51%
Билеты на посещение веревочного парка от компании «Тур-Сафари»,294 руб.,,15,0,-51%
Мастер-класс по стрельбе из лука и арбалета в тире Big Game,594 руб.,Авиамоторная,11,5,-67%
День развлечений для одного или двух детей в игровом центре «В детство»,125 руб.,,1,1,-50%
Участие в перформанс-квесте «Тихое место» от студии Dream Quest,1 150 руб.,Люблино,9,0,-77%
Участие в перформанс-квесте «Жесть» от студии Top Quest,958 руб.,Волгоградский проспект,5,0,-88%
Участие в перформанс-квесте «Ганнибал Лектор» от студии «Калаустрафобия»,958 руб.,Волгоградский проспект,7,0,-88%
Участие в перформанс-квесте «Тайна проклятого дома» от компании Questar,1 500 руб.,Печатники,7,0,-50%
Участие в перформанс-квесте «Астрал 4: Последний ключ» от студии Top Quest,960 руб.,Волгоградский проспект,12,0,-76%
День или месяц посещений детского развлекательного комплекса Majestic,150 руб.,,5,0,-50%
Участие в квесте «Карабас-Барабас» от студии Dream Quest,1 198 руб.,Люблино,9,3,-85%
Катание на багги по маршруту на выбор от компании «Профи 4×4»,972 руб.,,14,0,-73%
Посещение занятий по стрельбе из лука либо метанию ножа в студии «Хронотоп»,750 руб.,,12,2,-50%
30 или 60 минут прогулки на пони от компании Happy Pony Event,405 руб.,,14,8,-73%
Посещение контактного зоопарка от компании «Деревня в городе»,75 руб.,,15,23,-50%
"1, 2 или 3 часа свободных прыжков для одного в батутном клубе Air",150 руб.,,23,12,-50%
Заезд с инструктором за рулем внедорожника от компании «Русский путь»,2 750 руб.,,22,6,-50%
30- или 60-минутная поездка на танке ПТ-САУ Jagdpanther от клуба «Резерв»,4 500 руб.,,28,4,-50%
Участие в хоррор-квесте с актерами «Психбольница Dark Mind» от Epic Quest,1 077 руб.,Тульская,27,6,-73%
Участие в квесте «Инквизиция» от компании Rabbit Hole,975 руб.,Курская,9,11,-61%
Участие в перформанс-квесте «Крик» от студии Dream Quest,958 руб.,Преображенская площадь,17,2,-88%
День развлечений с посещением цирка в национальном конном парке «Русь»,875 руб.,,29,1,-50%
Конная прогулка на выбор или фотосессия с лошадью от КСК «Баллада»,495 руб.,,39,3,-67%
Участие в квесте «Гарри Поттер» до 4 человек от студии Disney Quest,960 руб.,Шоссе Энтузиастов,12,0,-76%
Участие в квесте на выбор от компании «Город квестов Gold Shark»,1 880 руб.,,10,1,-53%
"Лесная прогулка на квадроцикле, багги, комплекс развлечений от ExtrimMoscow",504 руб.,,52,4,-58%
Игра в русский бильярд или американский пул от клуба «Атмосфера»,240 руб.,,8,0,-50%
Участие в ужасающем перформанс-квесте на выбор от компании Phobia Quest,748 руб.,,24,2,-85%
Участие в перформанс-квесте на выбор от компании Horror Quest,1 960 руб.,Перово,14,2,-51%
Билет на экскурсию «Оборона Москвы» в Музее ратной истории Москвы,1 960 руб.,Кутузовская,19,1,-51%
Стрельба из лука или арбалета в тире в клубе стрельбы из лука «Варяг»,250 руб.,,56,53,-50%
Игра в русский бильярд или американский пул от бильярдного клуба «5 угол»,400 руб.,,12,18,-50%
Участие в квесте «Дракула: нерассказанная история» от компании Lost,1 250 руб.,Новокузнецкая,18,16,-50%
"Участие в перформанс-квесте «Пиковая дама, приди!» от компании Horror Quest",1 960 руб.,Перово,11,3,-51%
Автобусная экскурсия от группы компаний «Столица»,1 475 руб.,Тургеневская,20,1,-50%
"Билет на экскурсию, мастер-класс или программу в музее-пекарне «Акри»",700 руб.,,51,20,-50%
Заезды на картах для детей и взрослых в крытом картинг-центре Zelenokart,275 руб.,,68,502,-50%
"День игры в пейнтбол, 1 или 2 часа игры в лазертаг в клубе Kvadro-Extrim",495 руб.,,31,1,-67%
Организация выпускного от сети активити-парков Fun Jump,10 000 руб.,Коломенская,3,0,-50%
Автобусная экскурсия «Гжельские узоры» от группы компаний «Столица»,1 600 руб.,Сухаревская,13,1,-50%
Игра в лазертаг или бампербол в семейном центре «Нескучный парк»,250 руб.,,32,7,-50%
Организация дня рождения в сети активити-парков Fun Jump,5 000 руб.,Коломенская,17,11,-50%
Участие в перформанс-квесте «Селфи из ада» от студии Dream Quest,878 руб.,Преображенская площадь,24,6,-89%
Катание на квадроцикле по маршруту на выбор от клуба Kvadro-Extrim,630 руб.,,64,25,-79%
Участие в перформанс-квесте «Портной» от студии «Фактор страха»,958 руб.,Волгоградский проспект,21,0,-88%
Участие в перформанс-квесте «Ловец снов» от компании Horror Quest,1 960 руб.,Бутырская,9,5,-51%
Участие в перформанс-квесте с актерами на выбор от студии PROQuest,958 руб.,,24,2,-88%
Участие в квесте «Школа» для команды до 4 человек от компании Monkey Quest,1 500 руб.,Окружная,25,11,-50%
Участие в перформанс-квесте «Не вам меня судить» от компании DreadRoom,1 957 руб.,Пражская,6,2,-72%
Участие в перформанс-квесте с актерами The Omen от студии Dream Quest,878 руб.,Преображенская площадь,14,0,-89%
День игры в пейнтбол или до 2 часов игры в лазертаг в клубе «Воин»,510 руб.,,38,7,-66%
Участие в перформанс-квесте «Пиковая дама» от студии «Фактор страха»,958 руб.,Нижегородская,52,20,-88%
"2, 4 или 6 часов отдыха для компании в банном комплексе «Жаркобанюшка»",840 руб.,Электрозаводская,63,8,-72%
Участие в экшен-квесте с актерами от компании «Технология квеста»,958 руб.,Авиамоторная,47,22,-88%
Заезд на питбайке от компании ExtrimMoscow,1 000 руб.,Печатники,34,10,-60%
Билет на посещение фестиваля «Корфест-2018» в зоопарке Zoooleni,1 250 руб.,,19,5,-50%
Участие в перформанс-квесте на выбор от компании Podzemka,1 600 руб.,,29,23,-50%
Участие в перформанс-квесте «Сверхъестественное» от студии Top Quest,878 руб.,Шоссе Энтузиастов,33,4,-89%
Участие в квесте «Самый страшный квест» от компании «Технология квеста»,958 руб.,Беговая,144,67,-88%
Участие в перформанс-квесте «Полтергейст» от студии «Фактор страха»,1 200 руб.,Алексеевская,38,9,-70%
Участие в пугающем перформанс-квесте «Инкарнация» от студии Dream Quest,1 150 руб.,Преображенская площадь,11,4,-77%
Участие в пугающем перформанс-квесте «На помощь» от студии PROQuest,1 198 руб.,Алексеевская,20,2,-85%
Участие в пугающем перформанс-квесте на выбор от студии «Фактор страха»,960 руб.,Шоссе Энтузиастов,29,2,-76%
"3,5 часа посещения аквапарка, массаж «Здоровая спина» от компании «Карибия»",2 450 руб.,Перово,102,46,-50%
Участие в квест-игре «Мафия» или «Черная метка» от компании «Проект Нейрон»,1 000 руб.,Новослободская,47,36,-50%
1 или 2 часа конной прогулки для одного или двоих от конюшни «Эквилого»,588 руб.,,78,10,-58%
1 или 2 часа развлечений в детском центре Kids Like,98 руб.,Свиблово,18,9,-51%
2 билета в кино с просмотром 2 фильмов в формате 5D от «5D-Кинотеатра»,300 руб.,,59,25,-50%
"Игровые автоматы, автодром и лабиринт в сети игровых комплексов «Игралайф»",625 руб.,Ховрино,68,126,-50%
Участие в квесте «Лабиринт» от компании «В подвале»,980 руб.,Речной вокзал,38,23,-72%
Стрельба из автомата и пистолета в сети интерактивных тиров «Тирекс»,493 руб.,Планерная,133,49,-53%
Участие в перформанс-квесте на выбор от сети студий Dream Quest,878 руб.,,26,4,-89%
Участие в перформанс-квесте «Пила» от компании Quest Hunter,1 800 руб.,Электрозаводская,36,11,-70%
Участие в программе «Танковый Биатлон» от компании «Воентанктур»,3 870 руб.,,99,25,-57%
Участие в квесте «Психотронная Лаборатория» от Lost Reality+,1 350 руб.,Комсомольская,35,11,-55%
Участие в квесте «Фредди. Кошмар на улице Вязов» от студии Dream Quest,1 198 руб.,Алексеевская,16,4,-85%
Участие в хоррор-квесте «Не дыши» для команды от студии «Фактор страха»,1 198 руб.,Нижегородская,99,13,-85%
Участие в квесте «Окулус» с актерами от студии PROQuest,1 247 руб.,Люблино,36,11,-75%
Участие в хоррор-квесте «Мертвые души» от студии Dream Quest,878 руб.,Нижегородская,17,3,-89%
Участие в квесте «Большой куш» от компании Quest Hunter,980 руб.,Электрозаводская,44,32,-72%
Участие в квесте «Тайный орден» от квест-центра «В подвале»,980 руб.,Речной вокзал,44,34,-72%
Участие в пугающем перформанс-квесте «Экзорцизм» от студии «Фактор страха»,878 руб.,Верхние Котлы,50,8,-89%
Участие в перформанс-квесте «Заклятие 2» с актерами от студии Dream Quest,880 руб.,Нижегородская,72,19,-78%
1 час посещения игровых зон для одного или двух детей в центре «Лимпопо»,125 руб.,,36,34,-50%
"Аренда банного комплекса, гостевого дома и фурако от компании «Лесные бани»",2 460 руб.,,165,12,-59%
Участие в перформанс-квесте «Зеркала» от компании Horror Quest,1 480 руб.,Фонвизинская,49,24,-63%
Прыжки на батуте в батутно-акробатическом центре «Сальто»,350 руб.,Коломенская,87,94,-50%
Полет на тренажере в кабине самолета от клуба «Авиатор»,1 900 руб.,Свиблово,106,21,-50%
"1, 2 или 4 заезда на карте мощностью 15 л. с. от компании ExtrimMoscow",504 руб.,Печатники,53,22,-58%
Мастер-класс по пилотированию и 30 минут полета от аэроклуба «РусАвиа»,3 384 руб.,,116,35,-53%
Участие в перформанс-квесте от студии Disney Quest,800 руб.,Деловой центр,100,23,-84%
Участие в квест-игре «Куб» или «Цирк» от компании «Проект Нейрон»,1 540 руб.,Менделеевская,42,56,-56%
"Стрельба из пневматического оружия, лука и арбалета в тире Air-Gun",875 руб.,Дубровка,45,14,-50%
Участие в детском квесте «Остров сокровищ» от компании «В подвале»,980 руб.,Речной вокзал,32,36,-72%
"Заезд на багги в течение 20, 40 или 60 минут от компании ExtrimMoscow",805 руб.,Печатники,237,49,-65%
Посещение арт-вечеринки для одного или двоих от проекта Art D’Vino,1 225 руб.,,86,17,-51%
Участие в перформанс-квесте «Аладдин» от студии Disney Quest,800 руб.,Деловой центр,23,3,-84%
Целый день игры в пейнтбол для одного человека от клуба Top Gun,950 руб.,,51,50,-50%
Посещение интерактивной игровой зоны Digi Digi Play,150 руб.,,49,68,-50%
Автобусная экскурсия по вечерней Москве от фирмы «Замоскворечье»,750 руб.,Партизанская,134,56,-50%
Караоке-вечеринка для компании от 2 до 6 человек в караоке-клубе «Соло»,150 руб.,Павелецкая,101,70,-50%
Участие для команды до 4 человек в реалити-квесте «Жажда: дочь винодела»,1 500 руб.,Аэропорт,21,15,-50%
"1, 2 часа или целый день посещения комплекса «Фэнтази Парк»",250 руб.,Марьино,157,501,-50%
Конная прогулка с чаепитием в юрте от экопарка «Сокольник»,663 руб.,,168,46,-61%
Участие в пугающем перформанс-квесте «Коллекционер» от компании Questar,1 200 руб.,Печатники,52,7,-60%
Экскурсия с развлечениями и чаепитием от «Экофермы Тетериных»,1 300 руб.,,73,15,-50%
1 или 2 часа конной прогулки от конного двора «Хутор»,616 руб.,,225,91,-56%
Катание на квадроцикле для одного от компании Prokatkvadro,625 руб.,,48,42,-75%
Игра в лазертаг или пейнтбол от компании «Тур-Сафари»,585 руб.,,45,11,-61%
Экскурсия или фотосессия с животными от компании WalkService,445 руб.,,234,341,-50%
